key,score,en,fr,es,de,ko,ru,tl,it,nl,sw,ja,ca,ro,pl,sl,zh-cn,pt,id,no,af,vi
agriculture,1.0,agriculture,agriculture,agricultura,landwirtschaft,농업,сельское хозяйство,agrikultura,agricoltura,landbouw,kilimo,農業,agricultura,agricultură,rolnictwo,kmetijstvo,农业,agricultura,pertanian,jordbruk,landbou,nông nghiệp
services,1.0,services,services,servicios,dienstleistungen,서비스,услуги,mga serbisyo,servizi,diensten,huduma,サービス,serveis,servicii,usługi,storitve,服务,serviços,layanan,tjenester,dienste,dịch vụ
manufacturing,1.0,manufacturing,fabrication,fabricación,herstellung,조작,производство,pagmamanupaktura,produzione,productie,viwanda,製造業,fabricació,fabricatie,produkcja,proizvodnja,制造业,fabricação,manufaktur,produksjon,vervaardiging,chế tạo
rate,1.0,rate,taux,tasa,rate,비율,ставка,rate,valutare,tarief,kiwango,レート,taxa,rata,wskaźnik,stopnja,速度,avaliar,kecepatan,sats,koers,tỷ lệ
rates,1.0,rates,taux,tasas,tarife,요금,ставки,mga rate,tariffe,tarieven,viwango,料金,tarifes,ratele,stawki,stopnje,费率,taxas,tarif,priser,tariewe,tỷ giá
percentage,1.0,percentage,pourcentage,porcentaje,prozentsatz,백분율,процент,porsyento,percentuale,percentage,asilimia,割合,percentatge,procent,procent,odstotek,百分比,percentagem,persentase,prosentdel,persentasie,phần trăm
percent,1.0,percent,pour cent,por ciento,prozent,퍼센트,процент,porsyento,per cento,procent,asilimia,パーセント,per cent,la sută,procent,odstotkov,百分比,por cento,persen,prosent,persent,phần trăm
index,1.0,index,index,índice,index,색인,индекс,index,indice,index,index,索引,índex,index,indeks,kazalo,指数,índice,indeks,indeks,indeks,chỉ số
variation,1.0,variation,variation,variación,variation,변화,вариация,pagkakaiba-iba,variazione,variatie,tofauti,変化,variació,variaţie,zmiana,variacija,变化,variação,variasi,variasjon,variasie,biến thể
decline,1.0,decline,déclin,declive,abfall,감소,отклонить,pagtanggi,declino,afwijzen,kupungua,衰退,declivi,declin,spadek,upad,衰退,declínio,menolak,avslå,afneem,sự suy sụp
change,1.0,change,changement,cambio,ändern,변화,изменять,pagbabago,modifica,wijziging,mabadiliko,変化,canvi,schimba,zmiana,sprememba,改变,mudar,mengubah,endre,verander,thay đổi
trend,1.0,trend,tendance,tendencia,trend,경향,тенденция,uso,tendenza,trend,mwenendo,傾向,tendència,tendinţă,tendencja,trend,趋势,tendência,kecenderungan,trend,neiging,xu hướng
breakdown,1.0,breakdown,panne,desglose,abbauen,고장,авария,pagkasira,guasto,afbraak,kuvunjika,壊す,avaria,dărâma,załamanie,okvara,分解,discriminação,perincian,sammenbrudd,ineenstorting,sự cố
stats,1.0,stats,statistiques,estadísticas,statistiken,통계,статистика,mga istatistika,statistiche,statistieken,takwimu,統計,estadístiques,statistici,statystyki,statistika,统计数据,estatísticas,statistik,statistikk,statistieke,số liệu thống kê
global,1.0,global,mondial,global,global,글로벌,глобальный,global,globale,mondiaal,kimataifa,グローバル,global,globală,światowy,globalno,全球的,global,global,global,wêreldwyd,toàn cầu
annual,1.0,annual,annuel,anual,jährlich,연간,ежегодный,taunang,annuale,jaarlijks,kila mwaka,年間,anual,anual,coroczny,letno,年度的,anual,tahunan,årlig,jaarliks,hàng năm
economic,1.0,economic,économique,económico,wirtschaftlich,간결한,экономический,pangkabuhayan,economico,economisch,kiuchumi,経済的な,econòmica,economic,gospodarczy,gospodarskih,经济的,econômico,ekonomis,økonomisk,ekonomiese,thuộc kinh tế
unit,1.0,unit,unité,unidad,einheit,단위,единица,yunit,unità,eenheid,kitengo,ユニット,unitat,unitate,jednostka,enota,单元,unidade,satuan,enhet,eenheid,đơn vị
units,1.0,units,unités,unidades,einheiten,단위,единицы,mga yunit,unità,eenheden,vitengo,単位,unitats,unitati,jednostki,enote,单位,unidades,unit,enheter,eenhede,đơn vị
expectancy,1.0,expectancy,espérance de vie,expectativa,erwartung,기대,ожидание,pag-asa,aspettativa,verwachting,matarajio,期待,expectació,speranța,oczekiwanie,expectancy,预期,expectativa,harapan,forventning,verwagting,kỳ vọng
outcome,1.0,outcome,résultat,resultado,ergebnis,결과,исход,kinalabasan,risultato,resultaat,matokeo,結果,resultat,rezultat,wynik,izid,结果,resultado,hasil,utfall,uitkoms,kết quả
chart,0.5,chart,graphique,gráfico,diagramm,차트,диаграмма,tsart,grafico,grafiek,chati,チャート,gràfic,diagramă,wykres,grafikon,图表,gráfico,bagan,diagram,grafiek,biểu đồ
pie,0.5,pie,tarte,pastel,bei,~에,в,sa,a,bij,saa,で,a les,la,na,pri,在,no,pada,på,by,tại
legend,0.5,legend,légende,leyenda,legende,전설,легенда,alamat,leggenda,legende,hadithi,伝説,llegenda,legendă,legenda,legenda,传奇,lenda,legenda,legende,legende,huyền thoại
area,0.5,area,zone,área,bereich,영역,область,lugar,zona,gebied,eneo,エリア,zona,zonă,obszar,območje,区域,área,daerah,område,gebied,khu vực
size,0.5,size,taille,tamaño,größe,크기,размер,laki,misurare,maat,ukubwa,サイズ,mida,dimensiune,rozmiar,velikost,尺寸,tamanho,ukuran,størrelse,grootte,kích cỡ
data,0.5,data,données,datos,daten,데이터,данные,datos,dati,gegevens,data,データ,dades,date,dane,podatke,数据,dados,data,data,data,dữ liệu
number_of,0.5,number of,nombre de,número de,anzahl von,수,количество,bilang ng,numero di,aantal van,idadi ya,の数,nombre de,număr de,liczba,število,数量,número de,jumlah,antall,aantal van,số lượng
sum,0.5,sum,somme,suma,summe,합집합,сумма,sum,somma,som,jumla,和,suma,sumă,suma,vsota,和,soma,jumlah,sum,som,tổng hợp
net,0.5,net,net,red,netto,그물,сеть,net,netto,netto,wavu,ネット,net,net,internet,net,网,líquido,bersih,nett,net,mạng lưới
