key,score,en,fr,es,de,ko,ru,tl,it,nl,sw,ja,ca,ro,pl,sl,zh-cn,pt,id,no,af,vi
railway,-2.0,railway,chemin de fer,ferrocarril,eisenbahn,철도,железная дорога,riles,ferrovia,spoorweg,reli,鉄道,ferrocarril,feroviar,kolej żelazna,železnica,铁路,ferrovia,kereta api,jernbane,spoorweg,đường sắt
railroad,-2.0,railroad,chemin de fer,ferrocarril,eisenbahn,철도,железная дорога,riles ng tren,ferrovia,spoorweg,reli,鉄道,ferrocarril,cale ferată,popędzać,železnica,铁路,estrada de ferro,jalan kereta api,jernbane,spoorweg,đường sắt
hotel,-2.0,hotel,hôtel,hotel,hotel,호텔,отель,hotel,albergo,hotel,hoteli,ホテル,hotel,hotel,hotel,hotel,酒店,hotel,hotel,hotell,hotel,khách sạn
hotels,-2.0,hotels,hôtels,hoteles,hotels,호텔,отели,mga hotel,alberghi,hotels,hoteli,ホテル,hotels,hoteluri,hotele,hoteli,酒店,hotéis,hotel,hoteller,hotelle,khách sạn
restaurant,-2.0,restaurant,restaurant,restaurante,restaurant,식당,ресторан,restaurant,ristorante,restaurant,mgahawa,レストラン,restaurant,restaurant,restauracja,restavracija,餐厅,restaurante,restoran,restaurant,restaurant,nhà hàng
beach,-2.0,beach,plage,playa,strand,해변,пляж,tabing dagat,spiaggia,strand,pwani,ビーチ,platja,plajă,plaża,plaža,海滩,praia,pantai,strand,strand,bãi biển
mountain,-2.0,mountain,montagne,montaña,berg,산,гора,bundok,montagna,berg,mlima,山,muntanya,munte,góra,gora,山,montanha,gunung,fjell,berg,núi
trail,-2.0,trail,piste,camino,pfad,자취,тащить,tugaygayan,sentiero,pad,njia,トレイル,pista,traseu,ścieżka,pot,踪迹,trilha,jejak,sti,spoor,dấu vết
trails,-2.0,trails,sentiers,senderos,wanderwege,산책로,тропы,mga landas,sentieri,paden,njia,トレイル,senders,poteci,szlaki,poti,踪迹,trilhas,jalan setapak,stier,roetes,những con đường mòn
hiking,-2.0,hiking,randonnée,senderismo,wandern,하이킹,пеший туризм,hiking,escursionismo,hiking,kupanda kwa miguu,ハイキング,senderisme,drumeții,turystyka piesza,pohodništvo,远足,caminhada,lintas alam,fotturer,stap,đi bộ đường dài
landmark,-2.0,landmark,point de repère,marca,wahrzeichen,경계표,ориентир,palatandaan,punto di riferimento,oriëntatiepunt,alama ya kihistoria,ランドマーク,fita,reper,punkt orientacyjny,mejnik,地标,marco,landmark,landemerke,landmerk,cột mốc
layout,-2.0,layout,mise en page,disposición,layout,공들여 나열한 것,макет,layout,disposizione,indeling,mpangilio,レイアウト,maquetació,aspect,układ,postavitev,布局,disposição,tata letak,layout,uitleg,cách trình bày
postcard,-2.0,postcard,carte postale,tarjeta postal,postkarte,엽서,открытка,postcard,cartolina,ansichtkaart,kadi ya posta,ポストカード,postal,carte poştală,pocztówka,razglednica,明信片,postal,kartu pos,postkort,poskaart,bưu thiếp
stamp,-2.0,stamp,timbre,estampilla,stempel,우표,штамп,selyo,timbro,stempel,muhuri,スタンプ,segell,ştampila,stempel,žig,邮票,carimbo,perangko,stemple,stempel,con tem
stamps,-2.0,stamps,timbres,sellos,briefmarken,우표,марки,mga selyo,francobolli,postzegels,mihuri,スタンプ,segells,timbre,znaczki,znamke,邮票,selos,perangko,frimerker,seëls,tem
printable,-2.0,printable,imprimable,imprimible,druckbar,인쇄 가능,для печати,napi-print,stampabile,afdrukbaar,chapa,印刷可能,imprimible,imprimabil,nadający się do druku,natisljiv,可打印,imprimível,dapat dicetak,utskrivbare,drukbaar,có thể in được
print,-2.0,print,imprimer,imprimir,drucken,인쇄,распечатать,print,stampa,afdrukken,chapa,印刷する,imprimir,imprimare,wydrukować,tiskanje,打印,imprimir,mencetak,trykk,druk,in
encyclopedia_britannica,-2.0,encyclopedia britannica,encyclopédie britannique,enciclopedia británica,enzyklopädie britannica,브리태니커 백과사전,британская энциклопедия,encyclopedia britannica,enciclopedia britannica,encyclopedie britannica,ensaiklopidia britannica,ブリタニカ百科事典,enciclopèdia britànica,enciclopedia britannica,encyklopedia britannica,britanska enciklopedija,大英百科全书,enciclopédia britânica,ensiklopedia britannica,encyclopedia britannica,ensiklopedie britannica,bách khoa toàn thư nước anh
wikipedia,-2.0,wikipedia,wikipédia,wikipedia,wikipedia,위키피디아,википедия,wikipedia,wikipedia,wikipedia,wikipedia,ウィキペディア,wikipedia,wikipedia,wikipedia,wikipedia,维基百科,wikipédia,wikipedia,wikipedia,wikipedia,wikipedia
coverage_map,-1.0,coverage map,carte de couverture,mapa de cobertura,abdeckungskarte,적용 범위 지도,карта покрытия,mapa ng saklaw,mappa di copertura,dekkingskaart,ramani ya chanjo,カバレッジマップ,mapa de cobertura,harta de acoperire,mapa zasięgu,zemljevid pokritosti,覆盖图,mapa de cobertura,peta cakupan,dekningskart,dekking kaart,bản đồ phủ sóng
plan,-1.0,plan,plan,plan,planen,계획,план,plano,piano,plan,mpango,プラン,pla,plan,plan,načrt,计划,plano,rencana,plan,beplan,kế hoạch
plans,-1.0,plans,plans,planes,pläne,계획,планы,mga plano,piani,plannen,mipango,予定,plans,planuri,plany,načrti,计划,planos,rencana,planer,planne,kế hoạch
planos,-1.0,planos,plans,planos,pläne,계획,планы,mga plano,piani,plannen,mipango,予定,plans,planuri,plany,načrti,计划,planos,rencana,planer,planne,kế hoạch
pinterest,-1.0,pinterest,pinterest,pinterest,pinterest,핀터레스트,pinterest,pinterest,pinterest,pinterest,pinterest,ピンタレスト,pinterest,pinterest,pintereście,pinterest,兴趣,pinterest,pinterest,pinterest,pinterest,pinterest
guide,-1.0,guide,guide,guía,führung,가이드,гид,gabay,guida,gids,mwongozo,ガイド,guia,ghid,przewodnik,vodnik,指导,guia,memandu,guide,gids,hướng dẫn
travel,-1.0,travel,voyage,viajar,reisen,여행하다,путешествовать,paglalakbay,viaggio,reis,kusafiri,旅行,viatjar,voiaj,podróż,potovanja,旅行,viagem,bepergian,reise,reis,du lịch
visit,-1.0,visit,visite,visita,besuchen,방문하다,посещать,bisitahin,visita,bezoek,tembelea,訪問,visita,vizita,odwiedzać,obisk,访问,visita,mengunjungi,besøk,besoek,thăm nom
vacation,-1.0,vacation,vacances,vacaciones,urlaub,휴가,отпуск,bakasyon,vacanza,vakantie,likizo,休暇,vacances,vacanţă,wakacje,počitnice,假期,férias,liburan,ferie,vakansie,kì nghỉ
tourist,-1.0,tourist,touristique,turístico,tourist,관광객,турист,turista,turista,toerist,mtalii,観光客,turística,turist,turystyczny,turistična,游客,turista,turis,turist,toeris,du khách
tourism,-1.0,tourism,tourisme,turismo,tourismus,관광 여행,туризм,turismo,turismo,toerisme,utalii,観光,turisme,turism,turystyka,turizem,旅游,turismo,pariwisata,turisme,toerisme,du lịch
km,-0.5,km,kilomètres,kilómetros,km,km,км,km,km,km,km,km,km,km,km,km,公里,quilômetros,km,km,km,km
miles,-0.5,miles,kilomètres,millas,meilen,마일,миль,milya,miglia,mijlen,maili,マイル,milles,mile,mile,milj,英里,milhas,mil,miles,myl,dặm
meters,-0.5,meters,mètres,metros,meter,미터,метры,metro,metri,meter,mita,メートル,metres,metri,metrów,metrov,米,metros,meter,meter,meter,mét
precipitation,-0.5,precipitation,précipitation,precipitación,fällung,강수량,осадки,pag-ulan,precipitazione,neerslag,mvua,降水量,precipitació,precipitare,osad,padavine,沉淀,precipitação,pengendapan,nedbør,neerslag,sự kết tủa
city,-0.5,city,ville,ciudad,stadt,도시,город,lungsod,città,stad,mji,市,ciutat,oraş,miasto,mesto,城市,cidade,kota,by,stad,thành phố
cities,-0.5,cities,villes,ciudades,städte,도시,города,mga lungsod,città,steden,miji,都市,ciutats,orase,miasta,mesta,城市,cidades,kota,byer,stede,thành phố
town,-0.5,town,ville,ciudad,stadt,도시,город,bayan,città,dorp,mji,町,poble,oraş,miasto,mesto,镇,cidade,kota,by,dorp,thị trấn
urban,-0.5,urban,urbain,urbano,urban,도시의,городской,urban,urbano,stedelijk,mjini,都会的な,urbà,urban,miejski,mestni,城市的,urbano,perkotaan,urbane,stedelik,đô thị
village,-0.5,village,village,aldea,dorf,마을,деревня,nayon,villaggio,dorp,kijiji,村,poble,sat,wieś,vas,村庄,aldeia,desa,landsby,dorpie,làng bản
villages,-0.5,villages,villages,pueblos,dörfer,마을,деревни,mga nayon,villaggi,dorpen,vijiji,村,pobles,sate,wioski,vasi,村庄,aldeias,desa,landsbyer,dorpe,làng
suburb,-0.5,suburb,banlieue,suburbio,vorort,근교,пригород,suburb,sobborgo,voorstad,kitongoji,郊外,suburbi,suburbie,przedmieście,predmestje,市郊,subúrbio,pinggiran kota,forstad,voorstad,ngoại ô
suburbs,-0.5,suburbs,banlieue,afueras,vororte,교외,пригород,mga suburb,periferia,buitenwijken,vitongoji,郊外,suburbis,suburbii,przedmieścia,predmestje,郊区,subúrbios,pinggiran kota,forsteder,voorstede,vùng ngoại ô
